strain,host,plasmid,medium,OD_abs.mean,OD_abs.se,OD_abs.errorpro,OD_culture.mean,OD_norm.mean,OD_norm.median,OD_norm.se,OD_norm.errorpro,OD_norm.rel,OD_norm.rel.errorpro,mumax.mean,mumax.se,mumax.rel,mumax.rel.errorpro,auc.mean,auc.se,auc.rel,auc.rel.errorpro,maxOD.mean,maxOD.se,maxOD.rel,maxOD.rel.errorpro
MG1655,MG1655,NA,LB,0.092400001,0.001025764,0.001450649,0.539955563,0.17133024,0.167953668,0.005982336,0.008460301,1,0.04938008,0.780842478,0.005915505,1,0.010713797,13.41656376,0.030644802,1,0.003230208,0.688266675,0.002893354,1,0.005945109
MG1655_pESBL1,MG1655,pESBL1,LB,0.092066666,0.001386431,0.001722442,0.518522216,0.179469636,0.176874865,0.01106514,0.0127164,1.047507058,0.074221576,0.68201388,0.010959679,0.873433374,0.015517257,12.88440705,0.12427268,0.960335842,0.009518813,0.680333316,0.006356475,0.988473423,0.010127253
MG1655_pESBL15,MG1655,pESBL15,LB,0.0912,0.001091197,0.001488539,0.512966676,0.177525962,0.176726581,0.005060372,0.008001931,1.036162452,0.04670472,0.687171706,0.014903835,0.880038837,0.020217747,13.42554678,0.054946981,1.000669547,0.004690084,0.684366663,0.003402676,0.994333574,0.006474098
MG1655_pESBL25,MG1655,pESBL25,LB,0.092666667,0.001940663,0.002196462,0.533766657,0.173579997,0.165622698,0.010368229,0.01200977,1.013131111,0.0700972,0.73251439,0.004669448,0.938107763,0.0092881,13.10634201,0.116558119,0.976877705,0.008969589,0.666766683,0.011520867,0.96876212,0.017227247
MG1655_pKPC,MG1655,pKPC,LB,0.087222223,0.000382357,0.001041043,0.53782222,0.162455305,0.164253118,0.003201082,0.006513341,0.948199833,0.038016298,0.70108255,0.020458265,0.89785401,0.027068793,13.11655791,0.065203873,0.977639144,0.005348416,0.688766658,0.005418108,1.000726438,0.008925688
MG1655_pOXA48,MG1655,pOXA48,LB,0.088244443,0.001731259,0.001989204,0.57534444,0.15777947,0.159846545,0.013628249,0.01469967,0.920908475,0.085797286,0.634020392,0.016575878,0.811969648,0.022101472,13.20267878,0.213286666,0.98405814,0.016055377,0.687066654,0.00882046,0.998256459,0.013485059
MG1655+Cm,MG1655+Cm,NA,LB,0.08468889,0.000807248,0.001141621,0.614066667,0.141804956,0.148702067,0.00959632,0.013571246,1,0.095703611,0.734549332,0.01874047,1,0.036080664,12.6963458,0.223403509,1,0.024884347,0.659066657,0.012696915,1,0.027244816
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,0.083377778,0.000556909,0.000970452,0.668644438,0.130583392,0.131060827,0.009168904,0.012734209,0.920866212,0.089800874,0.695626975,0.008182385,0.947011922,0.026605238,12.70304533,0.30140513,1.000527674,0.02955515,0.671866655,0.013613081,1.019421401,0.028501383
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,0.086177777,0.000587571,0.001009952,0.526744449,0.164304402,0.169730664,0.004452745,0.011977365,1.158664739,0.084463657,0.652318788,0.031214314,0.888053068,0.048157177,12.91579301,0.156765019,1.017284281,0.021745471,0.678366661,0.00597274,1.029283842,0.021801894
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,0.092222223,0.00124828,0.001526742,0.510766675,0.18227871,0.179181188,0.010590175,0.016257648,1.285418477,0.114647955,0.711634182,0.016685747,0.968803797,0.033569756,12.94160435,0.0604546,1.019317255,0.018557083,0.671966672,0.002742732,1.019573157,0.020078082
MG1655+Cm_pKPC,MG1655+Cm,pKPC,LB,0.091799999,0.001201375,0.001486264,0.562544445,0.163616094,0.160674163,0.006985209,0.013091593,1.153810833,0.092321127,0.642513388,0.016178077,0.874704203,0.031354302,13.78264133,0.116893973,1.085559699,0.021204482,0.705033322,0.007168786,1.069745093,0.023302978
