strain,host,plasmid,medium,replicate,plate,well,OD_abs,OD_culture,OD_norm,OD_norm.rel
cESBL1,cESBL1,NA,LB,1,1,A10,0.085299999,0.608699977,0.140134716,1.065744963
cESBL1,cESBL1,NA,LB,3,1,A12,0.091799997,0.603799999,0.152037093,1.156264277
cESBL1,cESBL1,NA,LB,2,1,D8,0.072999999,0.611100018,0.119456712,0.908485725
cESBL1,cESBL1,NA,LB,3,2,E8,0.088399999,0.60680002,0.145682261,1.107934852
cESBL1,cESBL1,NA,LB,1,2,F9,0.088699996,0.637000024,0.139246457,1.058989624
cESBL1,cESBL1,NA,LB,2,2,G11,0.0766,0.628499985,0.121877489,0.926896088
cESBL1,cESBL1,NA,LB,2,3,B12,0.074500002,0.609899998,0.122151176,0.928977517
cESBL1,cESBL1,NA,LB,1,3,C9,0.075099997,0.646499991,0.116163957,0.883443843
cESBL1,cESBL1,NA,LB,3,3,G5,0.081100002,0.640299976,0.126659386,0.963263112
cESBL1_pESBL1,cESBL1,pESBL1,LB,1,1,A3,0.073299997,0.61589998,0.119012825,0.9051099
cESBL1_pESBL1,cESBL1,pESBL1,LB,1,1,A4,0.069399998,0.58829999,0.117967022,0.897156415
cESBL1_pESBL1,cESBL1,pESBL1,LB,3,1,H6,0.076099999,0.666499972,0.114178548,0.868344518
cESBL1_pESBL1,cESBL1,pESBL1,LB,3,2,E6,0.089400001,0.645799994,0.138432954,1.052802815
cESBL1_pESBL1,cESBL1,pESBL1,LB,2,2,F8,0.077299997,0.619899988,0.12469753,0.948342911
cESBL1_pESBL1,cESBL1,pESBL1,LB,1,2,G8,0.086400002,0.621100008,0.139108036,1.057936912
cESBL1_pESBL1,cESBL1,pESBL1,LB,1,3,D5,0.071400002,0.634199977,0.112582788,0.85620853
cESBL1_pESBL1,cESBL1,pESBL1,LB,2,3,E4,0.075099997,0.650900006,0.115378701,0.877471857
cESBL1_pESBL1,cESBL1,pESBL1,LB,3,3,F4,0.076499999,0.603500009,0.126760559,0.964032547
cESBL1_pESBL15,cESBL1,pESBL15,LB,1,1,B2,0.086499996,0.611599982,0.141432307,1.075613332
cESBL1_pESBL15,cESBL1,pESBL15,LB,2,1,C7,0.077799998,0.574299991,0.135469266,1.030263535
cESBL1_pESBL15,cESBL1,pESBL15,LB,3,1,G12,0.082900003,0.661599994,0.125302303,0.952942298
cESBL1_pESBL15,cESBL1,pESBL15,LB,3,2,C5,0.092299998,0.635100007,0.145331439,1.1052668
cESBL1_pESBL15,cESBL1,pESBL15,LB,2,2,F10,0.077299997,0.649900019,0.118941368,0.904566459
cESBL1_pESBL15,cESBL1,pESBL15,LB,1,2,G4,0.085199997,0.647499979,0.131583011,1.000707999
cESBL1_pESBL15,cESBL1,pESBL15,LB,3,3,A4,0.133000001,0.60860002,0.218534336,1.661985513
cESBL1_pESBL15,cESBL1,pESBL15,LB,1,3,G6,0.091399997,0.637799978,0.143305112,1.089856287
cESBL1_pESBL15,cESBL1,pESBL15,LB,2,3,G12,0.079499997,0.668200016,0.118976347,0.904832479
cESBL1_pESBL25,cESBL1,pESBL25,LB,3,1,F7,0.0858,0.5722,0.14994757,1.223633453
cESBL1_pESBL25,cESBL1,pESBL25,LB,2,1,F12,0.078299999,0.551999986,0.141847828,1.157536248
cESBL1_pESBL25,cESBL1,pESBL25,LB,1,1,G3,0.078400001,0.559300005,0.140175219,1.143887075
cESBL1_pESBL25,cESBL1,pESBL25,LB,2,2,A8,0.098200001,0.611199975,0.160667547,1.311112847
