strain,host,plasmid,medium,mumax,mumax.rel,auc,auc.rel,maxOD,maxOD.rel
cESBL1,cESBL1,NA,LB,0.570901374,0.98570773,13.14049084,0.993218527,0.678300023,0.994963856
cESBL1,cESBL1,NA,LB,0.533538698,0.921198027,12.99614795,0.982308429,0.667299986,0.978828461
cESBL1,cESBL1,NA,LB,0.633097403,1.093094242,13.55399471,1.024473044,0.699599981,1.026207683
cESBL1_pESBL1,cESBL1,pESBL1,LB,0.561829425,0.970044271,12.64422771,0.955708684,0.666800022,0.978095089
cESBL1_pESBL1,cESBL1,pESBL1,LB,0.53626225,0.925900461,12.86054205,0.972058714,0.665899992,0.976774881
cESBL1_pESBL1,cESBL1,pESBL1,LB,0.56636582,0.977876728,13.2944073,1.004852238,0.708700001,1.03955604
cESBL1_pESBL15,cESBL1,pESBL15,LB,0.562819467,0.97175366,12.74013542,0.962957829,0.670599997,0.983669079
cESBL1_pESBL15,cESBL1,pESBL15,LB,0.600706475,1.037168666,13.03279565,0.98507843,0.684499979,1.004058257
cESBL1_pESBL15,cESBL1,pESBL15,LB,0.569650305,0.983547659,13.1835003,0.996469379,0.714900017,1.048650529
cESBL1_pESBL25,cESBL1,pESBL25,LB,0.510401451,0.881249686,12.72562398,0.961860988,0.659300029,0.96709373
cESBL1_pESBL25,cESBL1,pESBL25,LB,0.558662592,0.964576476,12.99028554,0.981865321,0.66900003,0.981322169
cESBL1_pESBL25,cESBL1,pESBL25,LB,0.535603587,0.924763226,12.21958654,0.923612359,0.648000002,0.950518294
cESBL1_pKPC,cESBL1,pKPC,LB,0.655310186,1.131446422,13.38964055,1.012050403,0.692799985,1.016233114
cESBL1_pKPC,cESBL1,pKPC,LB,0.577798956,0.997616969,13.09961728,0.990129116,0.685599983,1.005671797
cESBL1_pKPC,cESBL1,pKPC,LB,0.582529162,1.005784055,13.71139928,1.036370403,0.718900025,1.054517937
cESBL1_pOXA48,cESBL1,pOXA48,LB,0.675006795,1.165454222,13.48221096,1.0190473,0.674600005,0.989536488
cESBL1_pOXA48,cESBL1,pOXA48,LB,0.510162462,0.880837051,12.74824773,0.963570995,0.6699,0.982642289
cESBL1_pOXA48,cESBL1,pOXA48,LB,0.62582667,1.080540729,13.78393305,1.041852838,0.704200029,1.03295526
cESBL15,cESBL15,NA,LB,0.741781269,1.009021213,14.65768922,1.00167106,0.733200014,1.001593755
cESBL15,cESBL15,NA,LB,0.759817741,1.033555647,14.43530007,0.986473523,0.721599996,0.985747457
cESBL15,cESBL15,NA,LB,0.70384898,0.95742314,14.80671931,1.011855416,0.741299987,1.012658788
cESBL15_pESBL1,cESBL15,pESBL1,LB,0.717703172,0.976268552,14.32463132,0.978910688,0.721099973,0.985064397
cESBL15_pESBL1,cESBL15,pESBL1,LB,0.854695278,1.162614509,14.86714172,1.015984538,0.73360002,1.002140186
cESBL15_pESBL1,cESBL15,pESBL1,LB,0.661597787,0.8999502,14.23804746,0.972993757,0.739499986,1.010199882
cESBL15_pESBL15,cESBL15,pESBL15,LB,0.907767671,1.234807179,14.55748213,0.99482315,0.717400014,0.980010038
cESBL15_pESBL15,cESBL15,pESBL15,LB,0.829893618,1.128877608,14.39116469,0.983457418,0.729399979,0.996402687
cESBL15_pESBL15,cESBL15,pESBL15,LB,0.782289568,1.064123349,14.74255992,1.007470919,0.737800002,1.007877605
cESBL15_pESBL25,cESBL15,pESBL25,LB,0.522918001,0.711308546,12.08839305,0.826091569,0.665199995,0.908701784
cESBL15_pESBL25,cESBL15,pESBL25,LB,0.632684621,0.860620549,12.99628462,0.888134685,0.6954,0.949956743
cESBL15_pESBL25,cESBL15,pESBL25,LB,0.571873812,0.777901562,13.10177961,0.895343957,0.684899986,0.935613115
cESBL15_pKPC,cESBL15,pKPC,LB,0.843245871,1.147040249,14.87685313,1.016648192,0.752699971,1.028231827
cESBL15_pKPC,cESBL15,pKPC,LB,0.657981503,0.895031086,15.25613427,1.042567349,0.80369997,1.097900785
cESBL15_pKPC,cESBL15,pKPC,LB,0.603903369,0.821470339,15.2809701,1.04426457,0.797500014,1.089431285
cESBL15_pOXA48,cESBL15,pOXA48,LB,0.53299401,0.725014617,12.3605919,0.844692981,0.645699978,0.882063629
cESBL15_pOXA48,cESBL15,pOXA48,LB,0.707766581,0.962752126,14.17761309,0.968863818,0.733900011,1.002549991
cESBL15_pOXA48,cESBL15,pOXA48,LB,0.712061542,0.968594424,14.05819394,0.960703001,0.73089999,0.998451789
MG1655,MG1655,NA,LB,0.770759262,1.002295175,13.34114261,0.994378505,0.678499997,0.985809748
MG1655,MG1655,NA,LB,0.751483347,0.97722878,13.38957756,0.997988591,0.695100009,1.009928324
MG1655,MG1655,NA,LB,0.784740247,1.020476045,13.51897111,1.007632904,0.691200018,1.004261928
MG1655_pESBL1,MG1655,pESBL1,LB,0.713155275,0.927386963,12.60499196,0.939509713,0.659099996,0.957622997
MG1655_pESBL1,MG1655,pESBL1,LB,0.633556542,0.823876789,13.30773176,0.991888236,0.69599998,1.011235914
MG1655_pESBL1,MG1655,pESBL1,LB,0.692816885,0.900938925,12.74049743,0.949609577,0.685899973,0.996561359
MG1655_pESBL15,MG1655,pESBL15,LB,0.681928234,0.886779326,13.23538554,0.98649593,0.674399972,0.979852718
MG1655_pESBL15,MG1655,pESBL15,LB,0.744164317,0.967711115,13.51344653,1.007221132,0.683899999,0.993655547
