row,column,Timepoint,Well ID,protein ,Treatment,microbetreatment,pollentreatment,Date
A,1,T24,A1,2446.796136,30_477_Fresh,30_477,Fresh,3.29.21
B,1,T24,B1,3843.461384,30_477_Fresh,30_477,Fresh,3.29.21
C,1,T24,C1,3862.580576,30_477_Fresh,30_477,Fresh,3.29.21
A,5,T24,A5,483.2234,30_ctrl_Fresh,30_ctrl,Fresh,3.29.21
B,5,T24,B5,656.5034,30_ctrl_Fresh,30_ctrl,Fresh,3.29.21
C,5,T24,C5,908.203784,30_ctrl_Fresh,30_ctrl,Fresh,3.29.21
A,1,T0,A1,990.2265042,30_477_Fresh,30_477,Fresh,4.12.21
A,2,T0,A2,609.4423389,30_477_Fresh,30_477,Fresh,4.12.21
A,3,T0,A3,689.7366909,30_477_Fresh,30_477,Fresh,4.12.21
A,4,T0,A4,781.1247176,30_477_Fresh,30_477,Fresh,4.12.21
A,5,T0,A5,726.0175336,30_477_Ungerm,30_477,Ungerm,4.12.21
A,6,T0,A6,941.7316509,30_477_Ungerm,30_477,Ungerm,4.12.21
A,7,T0,A7,874.7991442,30_477_Ungerm,30_477,Ungerm,4.12.21
A,8,T0,A8,1220.665038,30_477_Ungerm,30_477,Ungerm,4.12.21
A,9,T0,A9,799.6766909,30_477_no pollen,30_477,no pollen,4.12.21
A,10,T0,A10,884.2923389,30_477_no pollen,30_477,no pollen,4.12.21
A,11,T0,A11,583.0891069,30_477_no pollen,30_477,no pollen,4.12.21
A,12,T0,A12,539.6243336,30_477_no pollen,30_477,no pollen,4.12.21
A,1,T24,A1,4623.932222,30_477_Fresh,30_477,Fresh,4.12.21
A,2,T24,A2,2530.732656,30_477_Fresh,30_477,Fresh,4.12.21
A,3,T24,A3,2467.469289,30_477_Fresh,30_477,Fresh,4.12.21
A,4,T24,A4,3085.786345,30_477_Fresh,30_477,Fresh,4.12.21
A,5,T24,A5,1970.945556,30_477_Ungerm,30_477,Ungerm,4.12.21
A,6,T24,A6,1813.243578,30_477_Ungerm,30_477,Ungerm,4.12.21
A,7,T24,A7,1765.081925,30_477_Ungerm,30_477,Ungerm,4.12.21
A,8,T24,A8,1456.183898,30_477_Ungerm,30_477,Ungerm,4.12.21
A,9,T24,A9,561.7717049,30_477_no pollen,30_477,no pollen,4.12.21
A,10,T24,A10,1120.135572,30_477_no pollen,30_477,no pollen,4.12.21
A,11,T24,A11,848.7987396,30_477_no pollen,30_477,no pollen,4.12.21
A,12,T24,A12,927.3050929,30_477_no pollen,30_477,no pollen,4.12.21
E,1,T0,E1,846.4567442,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,2,T0,E2,846.4567442,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,3,T0,E3,735.1449042,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,4,T0,E4,771.8830269,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,5,T0,E5,644.9000776,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,6,T0,E6,1059.079587,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,7,T0,E7,970.7599709,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,8,T0,E8,980.4818056,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,9,T0,E9,707.8313842,30_ctrl_no pollen,30_ctrl,no pollen,4.12.21
E,10,T0,E10,106.6271336,30_ctrl_no pollen,30_ctrl,no pollen,4.12.21
E,11,T0,E11,565.6346056,30_ctrl_no pollen,30_ctrl,no pollen,4.12.21
E,12,T0,E12,471.2696242,30_ctrl_no pollen,30_ctrl,no pollen,4.12.21
E,1,T24,E1,2404.472122,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,2,T24,E2,1550.462789,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,3,T24,E3,1526.829178,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,4,T24,E4,1397.605652,30_ctrl_Fresh,30_ctrl,Fresh,4.12.21
E,5,T24,E5,1200.430789,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,6,T24,E6,1235.002745,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,7,T24,E7,1154.48392,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,8,T24,E8,1362.58648,30_ctrl_Ungerm,30_ctrl,Ungerm,4.12.21
E,9,T24,E9,1074.486846,30_ctrl_no pollen,30_ctrl,no pollen,4.12.21
E,10,T24,E10,660.3126449,30_ctrl_no pollen,30_ctrl,no pollen,4.12.21
E,11,T24,E11,660.3126449,30_ctrl_no pollen,30_ctrl,no pollen,4.12.21
