Treatment_l,Tube,initial count,final count-24h,Date
FP+A.pollinis,A1,59062500,534375000,7.9.20
FP+A.pollinis,A2,55625000,584375000,7.9.20
FP+A.pollinis,A3,50312500,559375000,7.9.20
FP alone,B1,4687500,9375000,7.9.20
FP alone,B2,2812500,18750000,7.9.20
FP alone,B3,4375000,9375000,7.9.20
UP+A.pollinis,C1,66875000,300000000,7.9.20
UP+A.pollinis,C2,61875000,371875000,7.9.20
UP+A.pollinis,C3,52500000,268750000,7.9.20
UP alone,D1,2812500,18750000,7.9.20
UP alone,D2,1875000,6250000,7.9.20
UP alone,D3,1562500,12500000,7.9.20
A.pollinis alone,E1,53437500,68750000,7.9.20
A.pollinis alone,E2,55937500,50000000,7.9.20
A.pollinis alone,E3,52500000,75000000,7.9.20
FP+A.pollinis,A1,48750000,406250000,6.25.20
FP+A.pollinis,A2,55937500,306250000,6.25.20
FP+A.pollinis,A3,48125000,315625000,6.25.20
FP alone,B1,8750000,28125000,6.25.20
FP alone,B2,6250000,31250000,6.25.20
FP alone,B3,6875000,28125000,6.25.20
UP+A.pollinis,C1,49062500,165625000,6.25.20
UP+A.pollinis,C2,56562500,231250000,6.25.20
UP+A.pollinis,C3,48750000,240625000,6.25.20
UP alone,D1,6250000,3125000,6.25.20
UP alone,D2,4375000,6250000,6.25.20
UP alone,D3,5625000,6250000,6.25.20
A.pollinis alone,E1,45625000,81250000,6.25.20
A.pollinis alone,E2,54687500,43750000,6.25.20
A.pollinis alone,E3,54375000,59375000,6.25.20
FP+A.pollinis,A1,41562500,409375000,7.24.20
FP+A.pollinis,A2,42812500,521875000,7.24.20
FP+A.pollinis,A3,44062500,506250000,7.24.20
FP alone,B1,11875000,300000000,7.24.20
FP alone,B2,20312500,81250000,7.24.20
FP alone,B3,13125000,165625000,7.24.20
UP+A.pollinis,C1,41875000,112500000,7.24.20
UP+A.pollinis,C2,44687500,278125000,7.24.20
UP+A.pollinis,C3,42187500,181250000,7.24.20
UP alone,D1,14375000,21875000,7.24.20
UP alone,D2,10000000,40625000,7.24.20
UP alone,D3,9687500,12500000,7.24.20
A.pollinis alone,E1,50000000,62500000,7.24.20
A.pollinis alone,E2,49375000,71875000,7.24.20
A.pollinis alone,E3,45312500,46875000,7.24.20
