Trial.date,image.ID,Microbetreatment,Assay.replicate,Timepoint,Minutes,initialOD,Total.pollen,number.germ,number.burst,number.tip.burst,Proportion.germinated,Proportion.burst,Proportion_tip_burst,allgerm,allburst
01.16.20,a1,(undiluted),1,15m,15,0.1,24,0,1,0,0,0.041666667,0,0,0.041666667
01.16.20,a2,(undiluted),2,15m,15,0.1,23,0,0,0,0,0,0,0,0
01.16.20,a3,(undiluted),3,15m,15,0.1,21,0,0,0,0,0,0,0,0
01.16.20,b1,(1:2),1,15m,15,0.05,20,1,1,0,0.05,0.05,0,0.05,0.05
01.16.20,b2,(1:2),2,15m,15,0.05,27,0,0,0,0,0,0,0,0
01.16.20,b3,(1:2),3,15m,15,0.05,26,1,0,0,0.038461538,0,0,0.038461538,0
01.16.20,c1,(1:3),1,15m,15,0.033333333,23,0,0,0,0,0,0,0,0
01.16.20,c2,(1:3),2,15m,15,0.033333333,21,0,0,0,0,0,0,0,0
01.16.20,c3,(1:3),3,15m,15,0.033333333,19,0,0,0,0,0,0,0,0
01.16.20,d1,(1:5),1,15m,15,0.02,39,0,0,0,0,0,0,0,0
01.16.20,d2,(1:5),2,15m,15,0.02,39,0,1,0,0,0.025641026,0,0,0.025641026
01.16.20,d3,(1:5),3,15m,15,0.02,24,0,0,0,0,0,0,0,0
01.16.20,e1,(1:20),1,15m,15,0.005,39,0,1,0,0,0.025641026,0,0,0.025641026
01.16.20,e2,(1:20),2,15m,15,0.005,40,0,0,0,0,0,0,0,0
01.16.20,e3,(1:20),3,15m,15,0.005,15,0,0,0,0,0,0,0,0
01.16.20,f1,(1:100),1,15m,15,0.001,40,0,0,0,0,0,0,0,0
01.16.20,f2,(1:100),2,15m,15,0.001,38,0,0,0,0,0,0,0,0
01.16.20,f3,(1:100),3,15m,15,0.001,40,0,0,0,0,0,0,0,0
01.16.20,g1,(sterile BK),1,15m,15,0,42,1,0,0,0.023809524,0,0,0.023809524,0
01.16.20,g2,(sterile BK),2,15m,15,0,58,0,0,0,0,0,0,0,0
01.16.20,g3,(sterile BK),3,15m,15,0,38,0,0,0,0,0,0,0,0
01.16.20,a1,(undiluted),1,45m,45,0.1,28,9,2,0,0.321428571,0.071428571,0,0.321428571,0.071428571
01.16.20,a2,(undiluted),2,45m,45,0.1,32,5,1,1,0.15625,0.03125,0.03125,0.1875,0.0625
01.16.20,a3,(undiluted),3,45m,45,0.1,30,9,1,0,0.3,0.033333333,0,0.3,0.033333333
01.16.20,b1,(1:2),1,45m,45,0.05,23,0,0,1,0,0,0.043478261,0.043478261,0.043478261
01.16.20,b2,(1:2),2,45m,45,0.05,29,3,1,0,0.103448276,0.034482759,0,0.103448276,0.034482759
01.16.20,b3,(1:2),3,45m,45,0.05,65,14,2,1,0.215384615,0.030769231,0.015384615,0.230769231,0.046153846
01.16.20,c1,(1:3),1,45m,45,0.033333333,26,0,0,0,0,0,0,0,0
01.16.20,c2,(1:3),2,45m,45,0.033333333,45,0,1,0,0,0.022222222,0,0,0.022222222
