Trial Date,Inoculation source,Microbe Inoculated:,Microbe IDed on MALDI:,NCBI identifier,Score,Genus match?,Species match?,Trial Type,notes
8.15.19,D1,A. nectaris,477 Acinetobacter pollinis on TSA,123300551,2.13,yes,no,Microbe Assay,
8.15.19,D1,A. nectaris,Acinetobacter nectaris BB_362,123300551,2.16,yes,yes,Microbe Assay,
8.15.19,D2,A. nectaris,Acinetobacter nectaris BB_362,123300551,2.02,yes,yes,Microbe Assay,
8.15.19,D2,A. nectaris,Acinetobacter nectaris BB_362,123300551,2.19,yes,yes,Microbe Assay,
8.15.19,D3,A. nectaris,Acinetobacter nectaris BB_362,123300551,1.79,yes,yes,Microbe Assay,
8.15.19,D3,A. nectaris,Acinetobacter nectaris BB_362,123300551,2.05,yes,yes,Microbe Assay,
8.15.19,D4,A. nectaris,Acinetobacter nectaris BB_362,123300551,2.19,yes,yes,Microbe Assay,
8.15.19,D4,A. nectaris,Acinetobacter nectaris BB_362,123300551,2.3,yes,yes,Microbe Assay,
10.25.19,B2,A.apis,Acinetobacter apis on TSA,123300551,2.24,yes,yes,Microbe Assay,
10.25.19,B2,A.apis,Acinetobacter apis on TSA,123300551,1.98,yes,yes,Microbe Assay,
10.25.19,B2,A.apis,Acinetobacter apis on TSA,123300551,2.03,yes,yes,Microbe Assay,
10.25.19,B2,A.apis,Acinetobacter apis on TSA,123300551,2.15,yes,yes,Microbe Assay,
10.25.19,A2,A.apis,Acinetobacter nectaris BB_362,123300551,1.89,yes,no,Microbe Assay,
10.25.19,A2,A.apis,Acinetobacter apis on TSA,123300551,1.96,yes,yes,Microbe Assay,
10.25.19,A2,A.apis,Acinetobacter apis on TSA,123300551,2.52,yes,yes,Microbe Assay,
10.25.19,A2,A.apis,Acinetobacter apis on TSA,123300551,2.2,yes,yes,Microbe Assay,
8.15.19,C2,A.apis,Acinetobacter nectaris BB_362,123300551,1.69,yes,no,Microbe Assay,*low score indicates accurate genus but not necessarily spp
8.15.19,C2,A.apis,Acinetobacter nectaris BB_362,123300551,2.16,yes,no,Microbe Assay,
8.15.19,C3,A.apis,Acinetobacter nectaris BB_362,123300551,2.02,yes,no,Microbe Assay,
8.15.19,C3,A.apis,Acinetobacter nectaris BB_362,123300551,2.01,yes,no,Microbe Assay,
8.15.19,C4,A.apis,Acinetobacter nectaris BB_362,123300551,1.77,yes,no,Microbe Assay,
1.16.20,B1- 1:1,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.54,yes,yes,Dose dependence,
1.16.20,Microbe tube- in BK 24h,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.54,yes,yes,Dose dependence,
1.16.20,B1- 1:1,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.52,yes,yes,Dose dependence,
1.16.20,Microbe tube- in BK 24h,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.51,yes,yes,Dose dependence,
1.16.20,pollen+microbe solution plated immediately,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.5,yes,yes,Dose dependence,
1.16.20,A2-1,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.49,yes,yes,Dose dependence,
1.16.20,A3-1,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.46,yes,yes,Dose dependence,
1.16.20,B2- 1:1,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.45,yes,yes,Dose dependence,
1.16.20,C3- 1:2,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.45,yes,yes,Dose dependence,
1.16.20,C3- 1:2,A.pollinis_2 (477),477 Acinetobacter pollinis on TSA,123300551,2.44,yes,yes,Dose dependence,
