Treatment,pollentreatment,Timepoint,image name,total,burst,germ,tipburst,allgerm,allburst,Date
477_GP,GP,15m,A1,88,2,0,0,0,2,4.12.21
477_GP,GP,15m,A2,136,0,0,0,0,0,4.12.21
477_GP,GP,15m,A3,176,0,0,0,0,0,4.12.21
477_GP,GP,15m,A4,127,0,0,0,0,0,4.12.21
477_GP,GP,12h,A1,86,0,17,1,18,1,4.12.21
477_GP,GP,12h,A2,194,0,35,0,35,0,4.12.21
477_GP,GP,12h,A3,207,0,31,1,32,1,4.12.21
477_GP,GP,12h,A4,99,0,24,0,24,0,4.12.21
477_GP,GP,24h,A1,89,0,32,0,32,0,4.12.21
477_GP,GP,24h,A2,138,2,40,0,40,2,4.12.21
477_GP,GP,24h,A3,105,1,41,0,41,1,4.12.21
477_GP,GP,24h,A4,63,0,39,0,39,0,4.12.21
477_GP,GP,15m,A1,244,0,1,0,1,0,3.29.21
477_GP,GP,15m,B1,152,1,0,0,0,1,3.29.21
477_GP,GP,15m,C1,128,0,0,0,0,0,3.29.21
477_GP,GP,12h,A1,152,7,17,0,17,7,3.29.21
477_GP,GP,12h,B1,164,4,20,1,21,5,3.29.21
477_GP,GP,12h,C1,216,2,36,3,39,5,3.29.21
477_GP,GP,24h,A1,204,3,33,1,34,4,3.29.21
477_GP,GP,24h,B1,156,3,29,3,32,6,3.29.21
477_GP,GP,24h,C1,156,2,37,4,41,6,3.29.21
477_GP,GP,15m,A1,141,0,0,0,0,0,4.18.21
477_GP,GP,15m,A2,95,0,0,0,0,0,4.18.21
477_GP,GP,15m,A3,206,0,0,0,0,0,4.18.21
477_GP,GP,15m,A4,115,0,0,0,0,0,4.18.21
477_GP,GP,12h,A1,103,2,21,2,23,4,4.18.21
477_GP,GP,12h,A2,132,0,38,4,42,4,4.18.21
477_GP,GP,12h,A3,141,1,35,0,35,1,4.18.21
477_GP,GP,12h,A4,149,2,40,2,42,4,4.18.21
477_GP,GP,24h,A1,132,1,43,2,45,3,4.18.21
477_GP,GP,24h,A2,100,0,35,1,36,1,4.18.21
477_GP,GP,24h,A3,103,0,40,2,42,2,4.18.21
477_GP,GP,24h,A4,112,1,56,1,57,2,4.18.21
477_UP,UP,15m,A5,143,0,0,0,0,0,4.12.21
477_UP,UP,15m,A6,144,0,0,0,0,0,4.12.21
477_UP,UP,15m,A7,149,0,0,0,0,0,4.12.21
477_UP,UP,15m,A8,147,0,0,0,0,0,4.12.21
477_UP,UP,12h,A5,189,0,0,0,0,0,4.12.21
477_UP,UP,12h,A6,150,0,0,0,0,0,4.12.21
477_UP,UP,12h,A7,192,0,0,0,0,0,4.12.21
477_UP,UP,12h,A8,171,0,0,0,0,0,4.12.21
477_UP,UP,24h,A5,141,0,0,0,0,0,4.12.21
477_UP,UP,24h,A6,91,0,0,0,0,0,4.12.21
477_UP,UP,24h,A7,185,0,0,0,0,0,4.12.21
477_UP,UP,24h,A8,103,0,0,0,0,0,4.12.21
477_UP,UP,15m,A5,218,0,0,0,0,0,4.18.21
477_UP,UP,15m,A6,55,0,0,0,0,0,4.18.21
477_UP,UP,15m,A7,62,0,0,0,0,0,4.18.21
477_UP,UP,15m,A8,84,0,0,0,0,0,4.18.21
477_UP,UP,12h,A5,102,0,0,0,0,0,4.18.21
477_UP,UP,12h,A6,70,0,0,0,0,0,4.18.21
477_UP,UP,12h,A7,98,0,0,0,0,0,4.18.21
477_UP,UP,12h,A8,109,0,0,0,0,0,4.18.21
477_UP,UP,24h,A5,94,0,0,0,0,0,4.18.21
477_UP,UP,24h,A6,77,0,0,0,0,0,4.18.21
477_UP,UP,24h,A7,86,0,0,0,0,0,4.18.21
477_UP,UP,24h,A8,62,0,0,0,0,0,4.18.21
ctrl_GP,GP,15m,E1,105,0,0,0,0,0,4.12.21
ctrl_GP,GP,15m,E2,110,0,0,0,0,0,4.12.21
ctrl_GP,GP,15m,E3,145,0,0,0,0,0,4.12.21
ctrl_GP,GP,15m,E4,77,0,0,0,0,0,4.12.21
ctrl_GP,GP,12h,E1,157,0,0,0,0,0,4.12.21
ctrl_GP,GP,12h,E2,215,0,1,0,1,0,4.12.21
ctrl_GP,GP,12h,E3,168,0,0,0,0,0,4.12.21
ctrl_GP,GP,12h,E4,104,0,0,0,0,0,4.12.21
ctrl_GP,GP,24h,E1,118,0,4,0,4,0,4.12.21
ctrl_GP,GP,24h,E2,102,0,0,0,0,0,4.12.21
ctrl_GP,GP,24h,E3,101,0,0,0,0,0,4.12.21
ctrl_GP,GP,24h,E4,138,0,0,0,0,0,4.12.21
ctrl_GP,GP,15m,A5,184,0,0,0,0,0,3.29.21
ctrl_GP,GP,15m,B5,137,0,0,0,0,0,3.29.21
ctrl_GP,GP,15m,C5,120,0,0,0,0,0,3.29.21
ctrl_GP,GP,12h,A5,152,0,0,0,0,0,3.29.21
ctrl_GP,GP,12h,B5,112,0,2,0,2,0,3.29.21
ctrl_GP,GP,12h,C5,204,0,0,0,0,0,3.29.21
ctrl_GP,GP,24h,A5,200,0,7,0,7,0,3.29.21
ctrl_GP,GP,24h,B5,148,0,10,0,10,0,3.29.21
ctrl_GP,GP,24h,C5,172,1,3,0,3,1,3.29.21
ctrl_GP,GP,15m,E1,77,0,0,0,0,0,4.18.21
ctrl_GP,GP,15m,E2,74,0,0,0,0,0,4.18.21
ctrl_GP,GP,15m,E3,126,1,0,0,0,1,4.18.21
ctrl_GP,GP,15m,E4,184,0,0,0,0,0,4.18.21
ctrl_GP,GP,12h,E1,184,1,7,1,8,2,4.18.21
ctrl_GP,GP,12h,E2,133,3,5,0,5,3,4.18.21
ctrl_GP,GP,12h,E3,70,0,2,0,2,0,4.18.21
ctrl_GP,GP,12h,E4,135,1,3,0,3,1,4.18.21
ctrl_GP,GP,24h,E1,106,0,7,1,8,1,4.18.21
ctrl_GP,GP,24h,E2,102,2,5,0,5,2,4.18.21
ctrl_GP,GP,24h,E3,103,1,3,2,5,3,4.18.21
ctrl_GP,GP,24h,E4,96,0,4,0,4,0,4.18.21
ctrl_UP,UP,15m,E6,109,0,0,0,0,0,4.12.21
ctrl_UP,UP,15m,E5,121,0,0,0,0,0,4.12.21
ctrl_UP,UP,15m,E7,110,0,0,0,0,0,4.12.21
ctrl_UP,UP,15m,E8,169,0,0,0,0,0,4.12.21
ctrl_UP,UP,12h,E6,157,0,0,0,0,0,4.12.21
ctrl_UP,UP,12h,E5,154,0,0,0,0,0,4.12.21
ctrl_UP,UP,12h,E7,170,0,0,0,0,0,4.12.21
ctrl_UP,UP,12h,E8,94,0,0,0,0,0,4.12.21
ctrl_UP,UP,24h,E6,91,0,0,0,0,0,4.12.21
ctrl_UP,UP,24h,E5,82,0,0,0,0,0,4.12.21
ctrl_UP,UP,24h,E7,125,0,0,0,0,0,4.12.21
ctrl_UP,UP,24h,E8,72,0,0,0,0,0,4.12.21
ctrl_UP,UP,15m,E5,117,0,0,0,0,0,4.18.21
ctrl_UP,UP,15m,E6,93,0,0,0,0,0,4.18.21
ctrl_UP,UP,15m,E7,92,0,0,0,0,0,4.18.21
ctrl_UP,UP,15m,E8,61,0,0,0,0,0,4.18.21
ctrl_UP,UP,12h,E5,146,0,0,0,0,0,4.18.21
ctrl_UP,UP,12h,E6,99,0,0,0,0,0,4.18.21
ctrl_UP,UP,12h,E7,100,0,0,0,0,0,4.18.21
ctrl_UP,UP,12h,E8,96,0,0,0,0,0,4.18.21
ctrl_UP,UP,24h,E5,130,0,0,0,0,0,4.18.21
ctrl_UP,UP,24h,E6,120,0,0,0,0,0,4.18.21
ctrl_UP,UP,24h,E7,49,0,0,0,0,0,4.18.21
ctrl_UP,UP,24h,E8,97,0,0,0,0,0,4.18.21
