Microbe.group,Microbetreatment,Trial.date,Assay.replicate,Timepoint,standardized.OD.plate,Total.pollen, number.germ,number.burst,number.tip.burst,Prop.germ,Prop.burst,Prop.tip.burst,allgerm,allburst
Acinetobacter,362,05.09.2019,1,15,0.05,73,0,0,0,0,0,0,0,0
Acinetobacter,362,05.09.2019,2,15,0.05,63,1,0,0,0.016,0,0,0.016,0
Acinetobacter,362,05.09.2019,3,15,0.05,95,0,0,0,0,0,0,0,0
Acinetobacter,4422,05.09.2019,1,15,0.05,49,11,0,0,0.224,0,0,0.224,0
Acinetobacter,4422,05.09.2019,2,15,0.05,97,6,1,0,0.062,0.01,0,0.062,0.01
Acinetobacter,4422,05.09.2019,3,15,0.05,79,1,1,0,0.013,0.013,0,0.013,0.013
Acinetobacter,474,05.09.2019,1,15,0.05,107,0,0,0,0,0,0,0,0
Acinetobacter,474,05.09.2019,2,15,0.05,92,0,0,0,0,0,0,0,0
Acinetobacter,474,05.09.2019,3,15,0.05,92,0,0,0,0,0,0,0,0
Acinetobacter,477,05.09.2019,1,15,0.05,84,0,0,0,0,0,0,0,0
Acinetobacter,477,05.09.2019,2,15,0.05,66,1,0,0,0.015,0,0,0.015,0
Acinetobacter,477,05.09.2019,3,15,0.05,71,1,0,0,0.014,0,0,0.014,0
Yeast from nectar,52,05.09.2019,1,15,0.05,82,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.09.2019,2,15,0.05,89,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.09.2019,3,15,0.05,93,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,1,15,0.05,87,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,2,15,0.05,81,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,3,15,0.05,161,0,0,0,0,0,0,0,0
Acinetobacter,362,05.09.2019,1,45,0.05,107,0,0,0,0,0,0,0,0
Acinetobacter,362,05.09.2019,2,45,0.05,73,0,0,0,0,0,0,0,0
Acinetobacter,362,05.09.2019,3,45,0.05,108,0,0,0,0,0,0,0,0
Acinetobacter,4422,05.09.2019,1,45,0.05,76,23,0,0,0.303,0,0,0.303,0
Acinetobacter,4422,05.09.2019,2,45,0.05,93,22,0,0,0.237,0,0,0.237,0
Acinetobacter,4422,05.09.2019,3,45,0.05,78,7,0,0,0.09,0,0,0.09,0
Acinetobacter,474,05.09.2019,1,45,0.05,84,0,0,0,0,0,0,0,0
Acinetobacter,474,05.09.2019,2,45,0.05,111,0,0,0,0,0,0,0,0
Acinetobacter,474,05.09.2019,3,45,0.05,79,0,0,0,0,0,0,0,0
Acinetobacter,477,05.09.2019,1,45,0.05,95,35,1,0,0.368,0.011,0,0.368,0.011
Acinetobacter,477,05.09.2019,2,45,0.05,97,19,0,0,0.196,0,0,0.196,0
Acinetobacter,477,05.09.2019,3,45,0.05,125,23,0,0,0.184,0,0,0.184,0
Yeast from nectar,52,05.09.2019,1,45,0.05,75,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.09.2019,2,45,0.05,92,1,0,0,0.011,0,0,0.011,0
Yeast from nectar,52,05.09.2019,3,45,0.05,90,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,1,45,0.05,83,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,2,45,0.05,109,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,3,45,0.05,157,0,0,0,0,0,0,0,0
Acinetobacter,362,05.09.2019,1,90,0.05,76,0,0,0,0,0,0,0,0
Acinetobacter,362,05.09.2019,2,90,0.05,68,0,0,0,0,0,0,0,0
Acinetobacter,362,05.09.2019,3,90,0.05,105,0,0,0,0,0,0,0,0
Acinetobacter,4422,05.09.2019,1,90,0.05,56,35,0,2,0.625,0,0.036,0.661,0.036
Acinetobacter,4422,05.09.2019,2,90,0.05,45,19,1,0,0.422,0.022,0,0.422,0.022
Acinetobacter,4422,05.09.2019,3,90,0.05,78,24,0,0,0.308,0,0,0.308,0
Acinetobacter,474,05.09.2019,1,90,0.05,110,13,0,1,0.118,0,0.009,0.127,0.009
Acinetobacter,474,05.09.2019,2,90,0.05,113,20,0,1,0.177,0,0.009,0.186,0.009
Acinetobacter,474,05.09.2019,3,90,0.05,104,3,0,0,0.029,0,0,0.029,0
Acinetobacter,477,05.09.2019,1,90,0.05,77,23,0,1,0.299,0,0.013,0.312,0.013
Acinetobacter,477,05.09.2019,2,90,0.05,57,27,0,0,0.474,0,0,0.474,0
Acinetobacter,477,05.09.2019,3,90,0.05,88,31,0,4,0.352,0,0.045,0.398,0.045
Yeast from nectar,52,05.09.2019,1,90,0.05,88,3,0,0,0.034,0,0,0.034,0
Yeast from nectar,52,05.09.2019,2,90,0.05,86,5,0,0,0.058,0,0,0.058,0
Yeast from nectar,52,05.09.2019,3,90,0.05,84,3,0,0,0.036,0,0,0.036,0
No microbes,ctrl,05.09.2019,1,90,0.05,68,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,2,90,0.05,92,0,0,0,0,0,0,0,0
No microbes,ctrl,05.09.2019,3,90,0.05,154,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,4,15,0.025,84,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,3,15,0.025,28,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,2,15,0.025,75,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,1,15,0.025,35,0,0,0,0,0,0,0,0
Acinetobacter,4422,05.14.2019,1,15,0.025,47,7,0,0,0.149,0,0,0.149,0
Acinetobacter,4422,05.14.2019,2,15,0.025,43,10,0,0,0.233,0,0,0.233,0
Acinetobacter,4422,05.14.2019,3,15,0.025,39,7,0,2,0.179,0,0.051,0.231,0.051
Acinetobacter,4422,05.14.2019,4,15,0.025,29,4,2,1,0.138,0.069,0.034,0.172,0.103
Acinetobacter,477,05.14.2019,1,15,0.025,47,4,0,0,0.085,0,0,0.085,0
Acinetobacter,477,05.14.2019,2,15,0.025,60,8,0,0,0.133,0,0,0.133,0
Acinetobacter,477,05.14.2019,3,15,0.025,97,6,0,0,0.062,0,0,0.062,0
Acinetobacter,477,05.14.2019,4,15,0.025,134,10,0,0,0.075,0,0,0.075,0
Acinetobacter,474,05.14.2019,1,15,0.025,22,4,0,0,0.182,0,0,0.182,0
Acinetobacter,474,05.14.2019,2,15,0.025,52,5,1,0,0.096,0.019,0,0.096,0.019
Acinetobacter,474,05.14.2019,3,15,0.025,64,4,0,0,0.063,0,0,0.063,0
Acinetobacter,474,05.14.2019,4,15,0.025,26,2,0,0,0.077,0,0,0.077,0
Acinetobacter,362,05.14.2019,1,15,0.025,52,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,2,15,0.025,88,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,3,15,0.025,60,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,4,15,0.025,86,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.14.2019,1,15,0.025,43,0,0,0,0.186,0.047,0,0,0
Yeast from nectar,52,05.14.2019,2,15,0.025,41,0,0,0,0.049,0,0,0,0
Yeast from nectar,52,05.14.2019,3,15,0.025,54,0,0,0,0.019,0,0,0,0
Yeast from nectar,52,05.14.2019,4,15,0.025,54,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,1,45,0.025,68,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,2,45,0.025,71,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,3,45,0.025,52,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,4,45,0.025,65,0,0,0,0,0,0,0,0
Acinetobacter,4422,05.14.2019,1,45,0.025,40,10,0,4,0.25,0,0.1,0.35,0.1
Acinetobacter,4422,05.14.2019,2,45,0.025,42,8,2,7,0.19,0.048,0.167,0.357,0.214
Acinetobacter,4422,05.14.2019,3,45,0.025,28,2,0,6,0.071,0,0.214,0.286,0.214
Acinetobacter,4422,05.14.2019,4,45,0.025,25,1,0,3,0.04,0,0.12,0.16,0.12
Acinetobacter,477,05.14.2019,1,45,0.025,67,12,1,0,0.179,0.015,0,0.179,0.015
Acinetobacter,477,05.14.2019,2,45,0.025,23,5,0,0,0.217,0,0,0.217,0
Acinetobacter,477,05.14.2019,3,45,0.025,20,9,0,0,0.45,0,0,0.45,0
Acinetobacter,477,05.14.2019,4,45,0.025,18,4,0,0,0.222,0,0,0.222,0
Acinetobacter,474,05.14.2019,1,45,0.025,99,18,2,0,0.182,0.02,0,0.182,0.02
Acinetobacter,474,05.14.2019,2,45,0.025,31,14,0,0,0.452,0,0,0.452,0
Acinetobacter,474,05.14.2019,3,45,0.025,93,18,0,0,0.194,0,0,0.194,0
Acinetobacter,474,05.14.2019,4,45,0.025,35,9,2,0,0.257,0.057,0,0.257,0.057
Acinetobacter,362,05.14.2019,1,45,0.025,73,1,0,0,0.014,0,0,0.014,0
Acinetobacter,362,05.14.2019,2,45,0.025,59,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,3,45,0.025,49,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,4,45,0.025,67,1,0,0,0.015,0,0,0.015,0
Yeast from nectar,52,05.14.2019,1,45,0.025,34,1,0,0,0.029,0,0,0.029,0
Yeast from nectar,52,05.14.2019,2,45,0.025,66,1,0,0,0.015,0,0,0.015,0
Yeast from nectar,52,05.14.2019,3,45,0.025,43,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.14.2019,4,45,0.025,69,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,1,90,0.025,76,1,0,0,0.013,0,0,0.013,0
No microbes,ctrl,05.14.2019,2,90,0.025,39,0,0,0,0,0,0,0,0
No microbes,ctrl,05.14.2019,3,90,0.025,39,0,1,0,0,0.026,0,0,0.026
No microbes,ctrl,05.14.2019,4,90,0.025,28,0,0,0,0,0,0,0,0
Acinetobacter,4422,05.14.2019,1,90,0.025,30,2,0,4,0.067,0,0.133,0.2,0.133
Acinetobacter,4422,05.14.2019,2,90,0.025,40,6,1,4,0.15,0.025,0.1,0.25,0.125
Acinetobacter,4422,05.14.2019,3,90,0.025,43,9,2,12,0.209,0.047,0.279,0.488,0.326
Acinetobacter,4422,05.14.2019,4,90,0.025,34,10,1,6,0.294,0.029,0.176,0.471,0.206
Acinetobacter,477,05.14.2019,1,90,0.025,70,32,2,0,0.457,0.029,0,0.457,0.029
Acinetobacter,477,05.14.2019,2,90,0.025,69,24,1,1,0.348,0.014,0.014,0.362,0.029
Acinetobacter,477,05.14.2019,3,90,0.025,74,34,0,0,0.459,0,0,0.459,0
Acinetobacter,477,05.14.2019,4,90,0.025,37,20,0,0,0.541,0,0,0.541,0
Acinetobacter,474,05.14.2019,1,90,0.025,51,28,0,0,0.549,0,0,0.549,0
Acinetobacter,474,05.14.2019,2,90,0.025,51,23,0,1,0.451,0,0.02,0.471,0.02
Acinetobacter,474,05.14.2019,3,90,0.025,45,17,0,0,0.378,0,0,0.378,0
Acinetobacter,474,05.14.2019,4,90,0.025,49,25,0,0,0.51,0,0,0.51,0
Acinetobacter,362,05.14.2019,1,90,0.025,40,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,2,90,0.025,46,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,3,90,0.025,41,0,0,0,0,0,0,0,0
Acinetobacter,362,05.14.2019,4,90,0.025,66,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.14.2019,1,90,0.025,56,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.14.2019,2,90,0.025,45,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.14.2019,3,90,0.025,57,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.14.2019,4,90,0.025,51,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.17.2019,1,15,0.025,62,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.17.2019,2,15,0.025,93,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.17.2019,3,15,0.025,67,0,0,0,0,0,0,0,0
Acinetobacter,362,05.17.2019,1,15,0.025,63,1,0,0,0.016,0,0,0.016,0
Acinetobacter,362,05.17.2019,2,15,0.025,62,5,0,0,0.081,0,0,0.081,0
Acinetobacter,362,05.17.2019,3,15,0.025,63,1,0,0,0.016,0,0,0.016,0
Acinetobacter,474,05.17.2019,1,15,0.025,53,4,0,0,0.075,0,0,0.075,0
Acinetobacter,474,05.17.2019,2,15,0.025,86,4,1,0,0.047,0.012,0,0.047,0.012
Acinetobacter,474,05.17.2019,3,15,0.025,59,3,0,0,0.051,0,0,0.051,0
Acinetobacter,474,05.17.2019,4,15,0.025,82,7,0,0,0.085,0,0,0.085,0
Acinetobacter,477,05.17.2019,1,15,0.025,43,4,0,0,0.093,0,0,0.093,0
Acinetobacter,477,05.17.2019,2,15,0.025,62,1,0,0,0.016,0,0,0.016,0
Acinetobacter,477,05.17.2019,3,15,0.025,52,3,0,0,0.058,0,0,0.058,0
Acinetobacter,477,05.17.2019,4,15,0.025,57,6,0,0,0.105,0,0,0.105,0
Acinetobacter,4422,05.17.2019,1,15,0.025,78,4,1,0,0.051,0.013,0,0.051,0.013
Acinetobacter,4422,05.17.2019,2,15,0.025,88,4,2,0,0.045,0.023,0,0.045,0.023
Acinetobacter,4422,05.17.2019,3,15,0.025,89,4,2,0,0.045,0.022,0,0.045,0.022
No microbes,ctrl,05.17.2019,1,15,0.025,50,0,0,0,0,0,0,0,0
No microbes,ctrl,05.17.2019,2,15,0.025,52,0,0,0,0,0,0,0,0
No microbes,ctrl,05.17.2019,3,15,0.025,66,0,0,0,0,0,0,0,0
Control pectin degrader,pcaro,05.17.2019,1,15,0.025,67,1,0,0,0.015,0,0,0.015,0
Control pectin degrader,pcaro,05.17.2019,2,15,0.025,74,1,0,0,0.014,0,0,0.014,0
Control pectin degrader,pcaro,05.17.2019,3,15,0.025,100,3,0,0,0.03,0,0,0.03,0
Yeast from nectar,52,05.17.2019,1,45,0.025,48,,,,0,0,0,0,0
Yeast from nectar,52,05.17.2019,2,45,0.025,44,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.17.2019,3,45,0.025,73,0,0,0,0,0,0,0,0
Yeast from nectar,52,05.17.2019,4,45,0.025,53,0,0,0,0,0,0,0,0
Acinetobacter,362,05.17.2019,1,45,0.025,64,2,0,0,0.031,0,0,0.031,0
Acinetobacter,362,05.17.2019,2,45,0.025,82,2,0,0,0.024,0,0,0.024,0
Acinetobacter,362,05.17.2019,3,45,0.025,64,5,2,4,0.078,0.031,0.063,0.141,0.094
Acinetobacter,362,05.17.2019,4,45,0.025,70,1,4,0,0.014,0.057,0,0.014,0.057
Acinetobacter,474,05.17.2019,1,45,0.025,70,24,0,0,0.343,0,0,0.343,0
Acinetobacter,474,05.17.2019,2,45,0.025,45,17,1,0,0.378,0.022,0,0.378,0.022
Acinetobacter,474,05.17.2019,3,45,0.025,105,32,1,3,0.305,0.01,0.029,0.333,0.038
Acinetobacter,474,05.17.2019,4,45,0.025,111,31,1,5,0.279,0.009,0.045,0.324,0.054
Acinetobacter,477,05.17.2019,1,45,0.025,74,25,0,2,0.338,0,0.027,0.365,0.027
Acinetobacter,477,05.17.2019,2,45,0.025,51,17,0,4,0.333,0,0.078,0.412,0.078
Acinetobacter,477,05.17.2019,3,45,0.025,64,17,0,3,0.266,0,0.047,0.313,0.047
Acinetobacter,477,05.17.2019,4,45,0.025,44,7,0,5,0.159,0,0.114,0.273,0.114
Acinetobacter,4422,05.17.2019,1,45,0.025,39,1,4,0,0.026,0.103,0,0.026,0.103
Acinetobacter,4422,05.17.2019,2,45,0.025,87,4,1,0,0.046,0.011,0,0.046,0.011
Acinetobacter,4422,05.17.2019,3,45,0.025,65,0,3,1,0,0.046,0.015,0.015,0.062
Acinetobacter,4422,05.17.2019,4,45,0.025,87,3,1,0,0.034,0.011,0,0.034,0.011
No microbes,ctrl,05.17.2019,1,45,0.025,47,0,0,0,0,0,0,0,0
No microbes,ctrl,05.17.2019,2,45,0.025,84,0,0,0,0,0,0,0,0
No microbes,ctrl,05.17.2019,3,45,0.025,129,0,0,0,0,0,0,0,0
No microbes,ctrl,05.17.2019,4,45,0.025,59,0,1,0,0,0.017,0,0,0.017
Control pectin degrader,pcaro,05.17.2019,1,45,0.025,89,6,0,0,0.067,0,0,0.067,0
Control pectin degrader,pcaro,05.17.2019,2,45,0.025,102,5,0,0,0.049,0,0,0.049,0
Control pectin degrader,pcaro,05.17.2019,3,45,0.025,93,13,1,0,0.14,0.011,0,0.14,0.011
Control pectin degrader,pcaro,05.17.2019,4,45,0.025,100,13,0,0,0.13,0,0,0.13,0
Yeast from nectar,52,05.17.2019,1,90,0.025,103,7,0,0,0.068,0,0,0.068,0
Yeast from nectar,52,05.17.2019,2,90,0.025,89,8,0,0,0.09,0,0,0.09,0
Yeast from nectar,52,05.17.2019,3,90,0.025,128,7,0,0,0.055,0,0,0.055,0
Yeast from nectar,52,05.17.2019,4,90,0.025,64,1,0,0,0.016,0,0,0.016,0
Acinetobacter,362,05.17.2019,1,90,0.025,80,7,0,1,0.088,0,0.013,0.1,0.013
Acinetobacter,362,05.17.2019,2,90,0.025,72,16,0,4,0.222,0,0.056,0.278,0.056
Acinetobacter,362,05.17.2019,3,90,0.025,68,1,0,0,0.015,0,0,0.015,0
Acinetobacter,362,05.17.2019,4,90,0.025,105,0,0,7,0,0,0.067,0.067,0.067
Acinetobacter,474,05.17.2019,1,90,0.025,86,27,1,7,0.314,0.012,0.081,0.395,0.093
Acinetobacter,474,05.17.2019,2,90,0.025,104,38,0,6,0.365,0,0.058,0.423,0.058
Acinetobacter,474,05.17.2019,3,90,0.025,90,33,0,7,0.367,0,0.078,0.444,0.078
Acinetobacter,474,05.17.2019,4,90,0.025,51,29,0,0,0.569,0,0,0.569,0
Acinetobacter,477,05.17.2019,1,90,0.025,79,14,1,11,0.177,0.013,0.139,0.316,0.152
Acinetobacter,477,05.17.2019,2,90,0.025,79,33,2,3,0.418,0.025,0.038,0.456,0.063
Acinetobacter,477,05.17.2019,3,90,0.025,68,19,0,7,0.279,0,0.103,0.382,0.103
Acinetobacter,477,05.17.2019,4,90,0.025,49,15,0,9,0.306,0,0.184,0.49,0.184
Acinetobacter,4422,05.17.2019,1,90,0.025,33,6,2,0,0.182,0.061,0,0.182,0.061
Acinetobacter,4422,05.17.2019,2,90,0.025,59,3,0,3,0.051,0,0.051,0.102,0.051
Acinetobacter,4422,05.17.2019,3,90,0.025,40,6,0,5,0.15,0,0.125,0.275,0.125
Acinetobacter,4422,05.17.2019,4,90,0.025,96,0,0,0,0,0,0,0,0
No microbes,ctrl,05.17.2019,1,90,0.025,92,0,0,0,0,0,0,0,0
No microbes,ctrl,05.17.2019,2,90,0.025,107,0,0,0,0,0,0,0,0
