Minutes,Time_l,Dilution,Well,tube number,length
720,12h,sterile BK,G1,1,5.5
720,12h,sterile BK,G1,2,8.22
1440,24h,sterile BK,G3,1,13.913
1440,24h,sterile BK,G3,2,115.485
1440,24h,sterile BK,G3,3,95.746
1440,24h,sterile BK,G3,4,158.906
1440,24h,sterile BK,G3,5,126.555
1440,24h,sterile BK,G3,6,20.619
1440,24h,sterile BK,G3,7,60.132
1440,24h,sterile BK,G3,8,122.395
1440,24h,sterile BK,G3,9,178.062
1440,24h,sterile BK,G3,10,74.224
1440,24h,sterile BK,G3,11,53.043
1440,24h,sterile BK,G3,12,99.027
1440,24h,sterile BK,G3,13,28.163
1440,24h,sterile BK,G3,14,20.403
1440,24h,sterile BK,G3,15,67.147
1440,24h,sterile BK,G3,16,81.064
1440,24h,sterile BK,G3,17,99.884
1440,24h,sterile BK,G3,18,63.522
1440,24h,sterile BK,G3,19,83.985
90,90m,(1;2),B1,1,102.676
90,90m,(1;2),B1,2,151.64
90,90m,(1;2),B1,3,57.021
90,90m,(1;2),B1,4,93.831
90,90m,(1;2),B1,5,49.899
90,90m,(1;2),B1,6,88.011
90,90m,(1;2),B1,7,140.776
90,90m,(1;2),B1,8,114.893
90,90m,(1;2),B1,9,21.863
90,90m,(1;2),B1,10,18.087
90,90m,(1;2),B1,11,114.552
90,90m,(1;2),B1,12,24.107
90,90m,(1;2),B1,13,14.932
90,90m,(1;2),B2,1,8.877
90,90m,(1;2),B2,2,92.956
90,90m,(1;2),B2,3,45.738
90,90m,(1;2),B2,4,80.741
90,90m,(1;2),B2,5,12.973
90,90m,(1;2),B2,6,59.787
90,90m,(1;2),B2,7,68.217
90,90m,(1;2),B2,8,89.151
90,90m,(1;2),B2,9,140.283
90,90m,(1;2),B2,10,131.227
90,90m,(1;2),B2,11,46.364
90,90m,(1;2),B2,12,68.068
90,90m,(1;2),B2,13,62.968
90,90m,(1;2),B3,1,41.269
90,90m,(1;2),B3,2,135.644
90,90m,(1;2),B3,3,369.882
90,90m,(1;2),B3,4,89.08
90,90m,(1;2),B3,5,134.46
90,90m,(1;2),B3,6,139.893
90,90m,(1;2),B3,7,44.383
90,90m,(1;2),B3,8,80.095
90,90m,(1;2),B3,9,110.279
90,90m,(1;2),B3,10,45.874
90,90m,(1;2),B3,11,72.522
90,90m,(1;2),B3,12,110.998
90,90m,(1;2),B3,13,114.089
90,90m,(1;2),B3,14,103.465
90,90m,(1;2),B3,15,16.626
90,90m,(1;2),B3,16,95.4
90,90m,(1;2),B3,17,124.807
90,90m,(1;2),B3,18,22.366
90,90m,(1;2),B3,19,104.272
90,90m,(1;2),B3,20,85.277
90,90m,(1;2),B3,21,72.298
90,90m,(1;2),B3,22,95.294
90,90m,(1;2),B3,23,60.135
90,90m,(1;2),B3,24,28.071
90,90m,(1;2),B3,25,9.914
90,90m,(1;2),B3,26,21.031
90,90m,(1;2),B3,27,91.641
90,90m,(1;2),B3,28,37.647
180,3h,(1;2),B1,1,259.968
180,3h,(1;2),B1,2,121.662
180,3h,(1;2),B1,3,86.091
180,3h,(1;2),B1,4,135.66
180,3h,(1;2),B1,5,148.074
180,3h,(1;2),B1,6,303.872
180,3h,(1;2),B1,7,88.308
180,3h,(1;2),B1,8,102.229
180,3h,(1;2),B1,9,91.899
180,3h,(1;2),B1,10,44.687
180,3h,(1;2),B1,11,26.364
180,3h,(1;2),B2,1,198.726
180,3h,(1;2),B2,2,82.681
180,3h,(1;2),B2,3,105.449
180,3h,(1;2),B2,4,217.942
180,3h,(1;2),B2,5,36.945
180,3h,(1;2),B2,6,103.36
180,3h,(1;2),B2,7,83.644
180,3h,(1;2),B2,8,128.413
180,3h,(1;2),B2,9,89.216
180,3h,(1;2),B2,10,50.386
180,3h,(1;2),B2,11,79.285
180,3h,(1;2),B2,12,107.613
180,3h,(1;2),B2,13,46.576
180,3h,(1;2),B2,14,61.094
360,6h,(1;2),B1,1,146.984
360,6h,(1;2),B1,2,12.803
360,6h,(1;2),B1,3,136.471
360,6h,(1;2),B1,4,325.285
360,6h,(1;2),B1,5,36.284
360,6h,(1;2),B1,6,145.178
360,6h,(1;2),B1,7,64.158
360,6h,(1;2),B1,8,108.46
360,6h,(1;2),B1,9,177.008
360,6h,(1;2),B1,10,69.822
360,6h,(1;2),B1,11,99.529
360,6h,(1;2),B1,12,137.932
360,6h,(1;2),B1,13,45.407
360,6h,(1;2),B2,1,124.856
360,6h,(1;2),B2,2,120.738
360,6h,(1;2),B2,3,123.945
360,6h,(1;2),B2,4,160.921
360,6h,(1;2),B2,5,224.534
360,6h,(1;2),B2,6,58.056
360,6h,(1;2),B2,7,170.694
360,6h,(1;2),B2,8,93.093
360,6h,(1;2),B2,9,88.429
360,6h,(1;2),B2,10,113.655
360,6h,(1;2),B2,11,59.048
360,6h,(1;2),B3,1,97.381
360,6h,(1;2),B3,2,149.149
360,6h,(1;2),B3,3,265.462
360,6h,(1;2),B3,4,105.911
360,6h,(1;2),B3,5,24.465
360,6h,(1;2),B3,6,130.622
360,6h,(1;2),B3,7,59.009
360,6h,(1;2),B3,8,109.47
360,6h,(1;2),B3,9,121.028
360,6h,(1;2),B3,10,76.793
360,6h,(1;2),B3,11,102.404
360,6h,(1;2),B3,12,86.122
360,6h,(1;2),B3,13,87.203
360,6h,(1;2),B3,14,118.116
360,6h,(1;2),B3,15,51.214
360,6h,(1;2),B3,16,74.842
360,6h,(1;2),B3,17,57.291
360,6h,(1;2),B3,18,84.913
360,6h,(1;2),B3,19,97.378
360,6h,(1;2),B3,20,21.456
360,6h,(1;2),B3,21,22.06
360,6h,(1;2),B3,22,97.785
360,6h,(1;2),B3,23,139.578
360,6h,(1;2),B3,24,51.795
360,6h,(1;2),B3,25,49.562
360,6h,(1;2),B3,26,37.217
360,6h,(1;2),B3,27,78.951
360,6h,(1;2),B3,28,262.928
360,6h,(1;2),B3,29,99.48
720,12h,(1;2),B1,1,126.875
720,12h,(1;2),B1,2,181.005
720,12h,(1;2),B1,3,157.231
720,12h,(1;2),B1,4,50.116
720,12h,(1;2),B1,5,46.903
720,12h,(1;2),B1,6,77.377
720,12h,(1;2),B1,7,80.098
720,12h,(1;2),B1,8,298.429
720,12h,(1;2),B1,9,112.449
720,12h,(1;2),B1,10,260.566
720,12h,(1;2),B1,11,133.349
720,12h,(1;2),B1,12,96.101
720,12h,(1;2),B1,13,47.756
720,12h,(1;2),B2,1,57.759
720,12h,(1;2),B2,2,120.116
720,12h,(1;2),B2,3,49.441
720,12h,(1;2),B2,4,81.387
720,12h,(1;2),B2,5,165.889
720,12h,(1;2),B2,6,81.922
720,12h,(1;2),B2,7,53.953
720,12h,(1;2),B2,8,156.336
720,12h,(1;2),B2,9,119.496
720,12h,(1;2),B2,10,75.788
720,12h,(1;2),B2,11,83.128
720,12h,(1;2),B2,12,233.579
720,12h,(1;2),B2,13,44.696
720,12h,(1;2),B2,14,85.098
720,12h,(1;2),B2,15,55.441
720,12h,(1;2),B2,16,45.307
720,12h,(1;2),B3,1,105.778
720,12h,(1;2),B3,2,175.562
720,12h,(1;2),B3,3,104.614
720,12h,(1;2),B3,4,119.119
720,12h,(1;2),B3,5,85.382
720,12h,(1;2),B3,6,74.674
720,12h,(1;2),B3,7,83.18
720,12h,(1;2),B3,8,65.602
720,12h,(1;2),B3,9,102.924
720,12h,(1;2),B3,10,51.274
720,12h,(1;2),B3,11,89.207
720,12h,(1;2),B3,12,114.947
720,12h,(1;2),B3,13,80.384
720,12h,(1;2),B3,14,131.451
720,12h,(1;2),B3,15,136.523
720,12h,(1;2),B3,16,113.472
720,12h,(1;2),B3,17,75.949
720,12h,(1;2),B3,18,157.209
720,12h,(1;2),B3,19,240.794
720,12h,(1;2),B3,20,116.443
720,12h,(1;2),B3,21,36.236
720,12h,(1;2),B3,22,65.347
720,12h,(1;2),B3,23,97.931
720,12h,(1;2),B3,24,99.793
720,12h,(1;2),B3,25,150.35
720,12h,(1;2),B3,26,32.713
720,12h,(1;2),B3,27,46.137
720,12h,(1;2),B3,28,80.192
1440,24h,(1;2),B1,1,149.541
1440,24h,(1;2),B1,2,68.22
1440,24h,(1;2),B1,3,71.451
1440,24h,(1;2),B1,4,47.105
1440,24h,(1;2),B1,5,197.653
1440,24h,(1;2),B1,6,117.565
1440,24h,(1;2),B1,7,160.458
1440,24h,(1;2),B1,8,147.417
1440,24h,(1;2),B1,9,100.854
1440,24h,(1;2),B1,10,56.838
1440,24h,(1;2),B1,11,132.567
1440,24h,(1;2),B1,12,105.072
1440,24h,(1;2),B2,1,88.86
1440,24h,(1;2),B2,2,35.797
1440,24h,(1;2),B2,3,54.618
1440,24h,(1;2),B2,4,94.006
1440,24h,(1;2),B2,5,177.653
