Treatment_l,initial count,final count-24h ,Date
FP alone,17812500,78125000,7.21.20
FP alone,937500,12500000,7.21.20
FP alone,3437500,25000000,7.21.20
FP alone,2187500,3750000,8.7.20
FP alone,1250000,17812500,8.7.20
FP alone,2500000,3437500,8.7.20
FP alone,500000,0,9.2.20
FP alone,250000,5000000,9.2.20
FP alone,250000,2500000,9.2.20
FP+ M. reukaufii,4062500,190625000,7.21.20
FP+ M. reukaufii,4375000,168750000,7.21.20
FP+ M. reukaufii,3125000,112500000,7.21.20
FP+ M. reukaufii,3125000,71875000,8.7.20
FP+ M. reukaufii,3750000,62812500,8.7.20
FP+ M. reukaufii,4062500,70312500,8.7.20
FP+ M. reukaufii,5250000,65000000,9.2.20
FP+ M. reukaufii,7500000,80000000,9.2.20
FP+ M. reukaufii,4250000,62500000,9.2.20
M. reukaufii alone,4062500,15625000,7.21.20
M. reukaufii alone,5000000,18750000,7.21.20
M. reukaufii alone,4687500,12500000,7.21.20
M. reukaufii alone,3437500,3125000,8.7.20
M. reukaufii alone,1562500,2187500,8.7.20
M. reukaufii alone,4062500,1562500,8.7.20
M. reukaufii alone,8750000,12500000,9.2.20
M. reukaufii alone,6750000,22500000,9.2.20
M. reukaufii alone,5250000,17500000,9.2.20
UP alone,4375000,12500000,7.21.20
UP alone,3437500,3125000,7.21.20
UP alone,3750000,6250000,7.21.20
UP alone,5937500,1875000,8.7.20
UP alone,3125000,1250000,8.7.20
UP alone,3125000,1562500,8.7.20
UP alone,0,0,9.2.20
UP alone,750000,10000000,9.2.20
UP alone,250000,2500000,9.2.20
UP+ M.reukaufii,6250000,143750000,7.21.20
UP+ M.reukaufii,4375000,153125000,7.21.20
UP+ M.reukaufii,4062500,168750000,7.21.20
UP+ M.reukaufii,3437500,61875000,8.7.20
UP+ M.reukaufii,4062500,78437500,8.7.20
UP+ M.reukaufii,3750000,70937500,8.7.20
UP+ M.reukaufii,6500000,70000000,9.2.20
UP+ M.reukaufii,7250000,55000000,9.2.20
UP+ M.reukaufii,6250000,92500000,9.2.20
